old_url,old_status,new_url,new_status,similarity_score
https://www.tipsbladet.dk/nyhed/landshold/staerk-pris-se-england-danmark-og-masser-af-nations-league-paa-dplay,410,https://www.tipsbladet.dk,200,0.0
https://www.tipsbladet.dk/nyhed/spil/irlandskampen-aage-kan-ikke-tabe,410,https://www.tipsbladet.dk,200,0.0
https://www.tipsbladet.dk/nyhed/spil/spil-paa-under-25-maal-naar-barcelona-onsdag-moeder-inter,410,https://www.tipsbladet.dk,200,0.0
https://www.tipsbladet.dk/nyhed/spil/zidane-faar-naeppe-revanche-over-paris-saint-germain,410,https://www.tipsbladet.dk,200,0.0
https://www.tipsbladet.dk/nyhed/europa-league/fremragende-pris-se-de-fede-europa-league-kampe-paa-dplay,410,https://www.tipsbladet.dk,200,0.0
https://www.tipsbladet.dk/nyhed/europa-league/eksklusiv-favoritpris-se-ifk-goteborg-fc-koebenhavn-med-dplay,410,https://www.tipsbladet.dk,200,0.0
https://www.tipsbladet.dk/nyhed/dansk/strudal-satser-paa-”rigtig”-traenerkarriere,410,https://www.tipsbladet.dk,200,0.0
https://www.tipsbladet.dk/nyhed/landshold/sportpris-se-landsholdet-og-masser-af-nations-league-paa-dplay-0,410,https://www.tipsbladet.dk,200,0.0
https://www.tipsbladet.dk/nyhed/spil/kan-ole-gunnar-modstaa-tyskerens-offensiv,410,https://www.tipsbladet.dk,200,0.0
https://www.tipsbladet.dk/nyhed/spil/real-madrid-jagter-vigtige-point-i-champions-league,410,https://www.tipsbladet.dk,200,0.0
https://www.tipsbladet.dk/nyhed/spil/afgoerelsens-time-liverpool-i-salzburg,410,https://www.tipsbladet.dk,200,0.0
https://www.tipsbladet.dk/nyhed/spil/em-kval-jon-og-aage-gaar-efter-alle-tre-point,410,https://www.tipsbladet.dk,200,0.0
https://www.tipsbladet.dk/nyhed/europa-league/spotpris-se-fc-koebenhavns-jagt-paa-europa-league-gruppespillet-paa-dplay,410,https://www.tipsbladet.dk,200,0.0
